,,,,,,,,
,,,,,,,,
,Simply Stated,,,,,,,INVOICE
,900 S. Gay St. Ste. 3200,,,,,,,
,Knoxville, TN 37917,,,(865) 555-5556,,,,
,,,,,,,,
,SOLD TO:,,,,,,,
,Sami Surrey,,,,,,INVOICE NUMBER  ,10006
,5324 Lakeview Dr,,,,,,INVOICE DATE  ,November 12, 2010
,Knoxville, TN 37916,,,,,,OUR ORDER NO.  ,726281
,,,,,,,YOUR ORDER NO.  ,6
,,,,,,,,
,SHIPPED TO:,,,,,,SALES REP  ,Boone Radley
, Same,,,,,,SHIPPED VIA  ,Ground
,,,,,,,F.O.B.  ,Knoxville, TN
,,,,,,,            PREPAID or COD,COD
,,,,,,,,
,Sales Tax Rate:     ,,9.25%,,,,,
,,,,,,,,
,QUANTITY,DESCRIPTION,,,,,UNIT PRICE,AMOUNT
,75 ,Holiday Invitations,,,,,3.50 ,$262.50 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,, SUBTOTAL,262.50 
,,,,,,, TAX,24.28 
,,,,,,, FREIGHT,
,,,,,,,,$286.78 
,DIRECT ALL INQUIRIES TO:,,,,MAKE ALL CHECKS PAYABLE TO:,,,PAY THIS
,Boone Radley,,,,Simply Stated,,,AMOUNT
,(865) 555-9559,,,,Attn: Accounts Receivable,,,
,email: booneradley@utk.edu,,,,900 S. Gay St. Ste. 3200,,,
,,,,,Knoxville, TN 37917,,,
,THANK YOU FOR YOUR BUSINESS!,,,,,,,
