,,,,,,,,
,,,,,,,,
,Simply Stated,,,,,,,INVOICE
,900 S. Gay St. Ste. 3200,,,,,,,
,Knoxville, TN 37917,,,(865) 555-5556,,,,
,,,,,,,,
,SOLD TO:,,,,,,,
,Tiffany Zoria,,,,,,INVOICE NUMBER  ,10002
,1 Heart Place,,,,,,INVOICE DATE  ,October 19, 2010
,Knoxville, TN 37919,,,,,,OUR ORDER NO.  ,726281
,,,,,,,YOUR ORDER NO.  ,2
,,,,,,,,
,SHIPPED TO:,,,,,,SALES REP  ,Boone Radley
, Same,,,,,,SHIPPED VIA  ,Ground
,,,,,,,F.O.B.  ,Knoxville, TN
,,,,,,,            PREPAID or COD,COD
,,,,,,,,
,Sales Tax Rate:     ,,9.25%,,,,,
,,,,,,,,
,QUANTITY,DESCRIPTION,,,,,UNIT PRICE,AMOUNT
,500 ,Gala Invitations,,,,,3.00 ,$1,500.00 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,, SUBTOTAL,1,500.00 
,,,,,,, TAX,138.75 
,,,,,,, FREIGHT,
,,,,,,,,$1,638.75 
,DIRECT ALL INQUIRIES TO:,,,,MAKE ALL CHECKS PAYABLE TO:,,,PAY THIS
,Boone Radley,,,,Simply Stated,,,AMOUNT
,(865) 555-9559,,,,Attn: Accounts Receivable,,,
,email: booneradley@utk.edu,,,,900 S. Gay St. Ste. 3200,,,
,,,,,Knoxville, TN 37917,,,
,THANK YOU FOR YOUR BUSINESS!,,,,,,,
