,,,,,,,,
,,,,,,,,
,Simply Stated,,,,,,,INVOICE
,900 S. Gay St. Ste. 3200,,,,,,,
,Knoxville, TN 37917,,,(865) 555-5556,,,,
,,,,,,,,
,SOLD TO:,,,,,,,
,Mrs. Henry Dubose,,,,,,INVOICE NUMBER  ,10003
,584 Peachtree Street,,,,,,INVOICE DATE  ,November 4, 2010
,Atlanta, GA 30303,,,,,,OUR ORDER NO.  ,726281
,,,,,,,YOUR ORDER NO.  ,3
,,,,,,,,
,SHIPPED TO:,,,,,,SALES REP  ,Boone Radley
, Same,,,,,,SHIPPED VIA  ,Ground
,,,,,,,F.O.B.  ,Knoxville, TN
,,,,,,,            PREPAID or COD,COD
,,,,,,,,
,Sales Tax Rate:     ,,9.25%,,,,,
,,,,,,,,
,QUANTITY,DESCRIPTION,,,,,UNIT PRICE,AMOUNT
,50 ,Thanksgiving Invitations,,,,,4.50 ,$225.00 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,, SUBTOTAL,225.00 
,,,,,,, TAX,20.81 
,,,,,,, FREIGHT,
,,,,,,,,$245.81 
,DIRECT ALL INQUIRIES TO:,,,,MAKE ALL CHECKS PAYABLE TO:,,,PAY THIS
,Boone Radley,,,,Simply Stated,,,AMOUNT
,(865) 555-9559,,,,Attn: Accounts Receivable,,,
,email: booneradley@utk.edu,,,,900 S. Gay St. Ste. 3200,,,
,,,,,Knoxville, TN 37917,,,
,THANK YOU FOR YOUR BUSINESS!,,,,,,,
