,,,,,,,,
,,,,,,,,
,Sassy Sentiments,,,,,,,INVOICE
,900 S. Gay St. Ste. 3200,,,,,,,
,Knoxville, TN 37917,,,(865) 555-5556,,,,
,,,,,,,,
,SOLD TO:,,,,,,,
,Nervous Tick Accessories,,,,,,INVOICE NUMBER  ,536526
,1799 Cumberland Ave,,,,,,INVOICE DATE  ,October 15, 2012
,Knoxville, TN 37916,,,,,,OUR ORDER NO.  ,726281
,,,,,,,YOUR ORDER NO.  ,2001
,,,,,,,,
,SHIPPED TO:,,,,,,SALES REP  ,Boone Radley
, Same,,,,,,SHIPPED VIA  ,Ground
,,,,,,,F.O.B.  ,Knoxville, TN
,,,,,,,            PREPAID or COD,COD
,,,,,,,,
,Sales Tax Rate:     ,,9.25%,,,,,
,,,,,,,,
,QUANTITY,DESCRIPTION,,,,,UNIT PRICE,AMOUNT
,20 ,Blank cards,,,,,2.50 ,$50.00 
,10 ,Pickled Thoughts,,,,,3.00 ,30.00 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,, SUBTOTAL,80.00 
,,,,,,, TAX,7.40 
,,,,,,, FREIGHT,
,,,,,,,,$87.40 
,DIRECT ALL INQUIRIES TO:,,,,MAKE ALL CHECKS PAYABLE TO:,,,PAY THIS
,Boone Radley,,,,Sassy Sentiments,,,AMOUNT
,(865) 555-9559,,,,Attn: Accounts Receivable,,,
,email: booneradley@utk.edu,,,,900 S. Gay St. Ste. 3200,,,
,,,,,Knoxville, TN 37917,,,
,THANK YOU FOR YOUR BUSINESS!,,,,,,,
